Dataset,LM_model,LM_output_type,Feature,Classifier,Precision,Recall,F1_score
EBG obfuscated,BERT base,probs,Bins 0.005,GNB,0.8717948717948718,0.7234042553191491,0.7906976744186047
EBG obfuscated,BERT base,probs,Bins 0.001,GNB,0.9230769230769232,0.5106382978723404,0.6575342465753424
EBG obfuscated,BERT base,probs,VGG19,GNB,0.8636363636363636,0.8085106382978723,0.8351648351648351
EBG obfuscated,BERT base,probs,Bins 0.010,GNB,0.8947368421052632,0.7234042553191491,0.8
EBG obfuscated,BERT base,probs,Bins 0.005,KNN,0.875,0.7446808510638298,0.8045977011494252
EBG obfuscated,BERT base,probs,Bins 0.001,KNN,0.8809523809523809,0.7872340425531915,0.8314606741573034
EBG obfuscated,BERT base,probs,VGG19,KNN,0.8809523809523809,0.7872340425531915,0.8314606741573034
EBG obfuscated,BERT base,probs,Bins 0.010,KNN,0.8780487804878049,0.7659574468085106,0.8181818181818182
EBG obfuscated,BERT base,probs,Bins 0.005,ANN,0.7954545454545454,0.7446808510638298,0.7692307692307692
EBG obfuscated,BERT base,probs,Bins 0.001,ANN,0.8604651162790697,0.7872340425531915,0.8222222222222222
EBG obfuscated,BERT base,probs,VGG19,ANN,0.85,0.7234042553191491,0.7816091954022989
EBG obfuscated,BERT base,probs,Bins 0.010,ANN,0.8444444444444444,0.8085106382978723,0.8260869565217391
EBG obfuscated,BERT base,probs,Bins 0.005,SVM,0.9642857142857144,0.5744680851063829,0.7200000000000001
EBG obfuscated,BERT base,probs,Bins 0.001,SVM,0.9583333333333334,0.4893617021276596,0.6478873239436619
EBG obfuscated,BERT base,probs,VGG19,SVM,0.875,0.7446808510638298,0.8045977011494252
EBG obfuscated,BERT base,probs,Bins 0.010,SVM,0.9354838709677421,0.6170212765957447,0.7435897435897436
EBG obfuscated,BERT base,probs,Bins 0.005,RFC,0.8571428571428571,0.6382978723404256,0.7317073170731707
EBG obfuscated,BERT base,probs,Bins 0.001,RFC,1.0,0.4893617021276596,0.6571428571428571
EBG obfuscated,BERT base,probs,VGG19,RFC,0.8809523809523809,0.7872340425531915,0.8314606741573034
EBG obfuscated,BERT base,probs,Bins 0.010,RFC,0.8787878787878788,0.6170212765957447,0.7250000000000001
EBG obfuscated,BERT base,ranks,Bins 50,GNB,0.12359550561797752,0.2340425531914893,0.16176470588235295
EBG obfuscated,BERT base,ranks,Bins 10,GNB,0.2368421052631579,0.1914893617021277,0.2117647058823529
EBG obfuscated,BERT base,ranks,VGG19,GNB,0.9696969696969696,0.6808510638297872,0.7999999999999999
EBG obfuscated,BERT base,ranks,Bins 100,GNB,0.4067796610169492,0.5106382978723404,0.4528301886792453
EBG obfuscated,BERT base,ranks,Bins 50,KNN,0.8205128205128205,0.6808510638297872,0.7441860465116279
EBG obfuscated,BERT base,ranks,Bins 10,KNN,0.7826086956521741,0.7659574468085106,0.7741935483870968
EBG obfuscated,BERT base,ranks,VGG19,KNN,0.9629629629629628,0.5531914893617021,0.7027027027027027
EBG obfuscated,BERT base,ranks,Bins 100,KNN,0.8048780487804879,0.7021276595744681,0.7500000000000001
EBG obfuscated,BERT base,ranks,Bins 50,ANN,0.9230769230769232,0.7659574468085106,0.8372093023255814
EBG obfuscated,BERT base,ranks,Bins 10,ANN,0.7407407407407407,0.851063829787234,0.7920792079207921
EBG obfuscated,BERT base,ranks,VGG19,ANN,0.9705882352941176,0.7021276595744681,0.8148148148148149
EBG obfuscated,BERT base,ranks,Bins 100,ANN,1.0,0.7446808510638298,0.8536585365853657
EBG obfuscated,BERT base,ranks,Bins 50,SVM,1.0,0.44680851063829785,0.6176470588235294
EBG obfuscated,BERT base,ranks,Bins 10,SVM,0.9583333333333334,0.4893617021276596,0.6478873239436619
EBG obfuscated,BERT base,ranks,VGG19,SVM,0.972972972972973,0.7659574468085106,0.8571428571428571
EBG obfuscated,BERT base,ranks,Bins 100,SVM,1.0,0.40425531914893614,0.5757575757575757
EBG obfuscated,BERT base,ranks,Bins 50,RFC,1.0,0.5319148936170213,0.6944444444444444
EBG obfuscated,BERT base,ranks,Bins 10,RFC,1.0,0.3191489361702128,0.4838709677419356
EBG obfuscated,BERT base,ranks,VGG19,RFC,0.9714285714285714,0.7234042553191491,0.8292682926829269
EBG obfuscated,BERT base,ranks,Bins 100,RFC,1.0,0.5957446808510638,0.7466666666666666
EBG obfuscated,BERT large,probs,Bins 0.005,GNB,0.825,0.7021276595744681,0.7586206896551724
EBG obfuscated,BERT large,probs,Bins 0.001,GNB,0.85,0.7234042553191491,0.7816091954022989
EBG obfuscated,BERT large,probs,VGG19,GNB,0.8163265306122449,0.851063829787234,0.8333333333333334
EBG obfuscated,BERT large,probs,Bins 0.010,GNB,0.85,0.7234042553191491,0.7816091954022989
EBG obfuscated,BERT large,probs,Bins 0.005,KNN,0.8695652173913043,0.851063829787234,0.8602150537634409
EBG obfuscated,BERT large,probs,Bins 0.001,KNN,0.851063829787234,0.851063829787234,0.8510638297872339
EBG obfuscated,BERT large,probs,VGG19,KNN,0.8222222222222222,0.7872340425531915,0.8043478260869565
EBG obfuscated,BERT large,probs,Bins 0.010,KNN,0.8666666666666667,0.8297872340425532,0.8478260869565217
EBG obfuscated,BERT large,probs,Bins 0.005,ANN,0.8222222222222222,0.7872340425531915,0.8043478260869565
EBG obfuscated,BERT large,probs,Bins 0.001,ANN,0.8444444444444444,0.8085106382978723,0.8260869565217391
EBG obfuscated,BERT large,probs,VGG19,ANN,0.78,0.8297872340425532,0.8041237113402062
EBG obfuscated,BERT large,probs,Bins 0.010,ANN,0.8478260869565217,0.8297872340425532,0.8387096774193549
EBG obfuscated,BERT large,probs,Bins 0.005,SVM,1.0,0.6170212765957447,0.763157894736842
EBG obfuscated,BERT large,probs,Bins 0.001,SVM,1.0,0.4893617021276596,0.6571428571428571
EBG obfuscated,BERT large,probs,VGG19,SVM,0.7843137254901961,0.851063829787234,0.8163265306122448
EBG obfuscated,BERT large,probs,Bins 0.010,SVM,0.967741935483871,0.6382978723404256,0.7692307692307693
EBG obfuscated,BERT large,probs,Bins 0.005,RFC,0.8611111111111112,0.6595744680851063,0.7469879518072289
EBG obfuscated,BERT large,probs,Bins 0.001,RFC,0.96,0.5106382978723404,0.6666666666666666
EBG obfuscated,BERT large,probs,VGG19,RFC,0.7872340425531915,0.7872340425531915,0.7872340425531915
EBG obfuscated,BERT large,probs,Bins 0.010,RFC,0.8974358974358975,0.7446808510638298,0.813953488372093
EBG obfuscated,BERT large,ranks,Bins 50,GNB,0.4782608695652174,0.4680851063829787,0.4731182795698925
EBG obfuscated,BERT large,ranks,Bins 10,GNB,0.3333333333333333,0.40425531914893614,0.3653846153846153
EBG obfuscated,BERT large,ranks,VGG19,GNB,1.0,0.7659574468085106,0.8674698795180723
EBG obfuscated,BERT large,ranks,Bins 100,GNB,0.6382978723404256,0.6382978723404256,0.6382978723404256
EBG obfuscated,BERT large,ranks,Bins 50,KNN,0.7959183673469388,0.8297872340425532,0.8125
EBG obfuscated,BERT large,ranks,Bins 10,KNN,0.8837209302325582,0.8085106382978723,0.8444444444444444
EBG obfuscated,BERT large,ranks,VGG19,KNN,1.0,0.7446808510638298,0.8536585365853657
EBG obfuscated,BERT large,ranks,Bins 100,KNN,0.8444444444444444,0.8085106382978723,0.8260869565217391
EBG obfuscated,BERT large,ranks,Bins 50,ANN,0.8571428571428571,0.8936170212765957,0.875
EBG obfuscated,BERT large,ranks,Bins 10,ANN,0.8636363636363636,0.8085106382978723,0.8351648351648351
EBG obfuscated,BERT large,ranks,VGG19,ANN,0.9487179487179488,0.7872340425531915,0.8604651162790696
EBG obfuscated,BERT large,ranks,Bins 100,ANN,0.9230769230769232,0.7659574468085106,0.8372093023255814
EBG obfuscated,BERT large,ranks,Bins 50,SVM,1.0,0.44680851063829785,0.6176470588235294
EBG obfuscated,BERT large,ranks,Bins 10,SVM,1.0,0.5744680851063829,0.7297297297297298
EBG obfuscated,BERT large,ranks,VGG19,SVM,0.975,0.8297872340425532,0.8965517241379308
EBG obfuscated,BERT large,ranks,Bins 100,SVM,1.0,0.425531914893617,0.5970149253731344
EBG obfuscated,BERT large,ranks,Bins 50,RFC,0.9722222222222222,0.7446808510638298,0.8433734939759036
EBG obfuscated,BERT large,ranks,Bins 10,RFC,1.0,0.3191489361702128,0.4838709677419356
EBG obfuscated,BERT large,ranks,VGG19,RFC,1.0,0.851063829787234,0.9195402298850576
EBG obfuscated,BERT large,ranks,Bins 100,RFC,1.0,0.6382978723404256,0.7792207792207793
EBG obfuscated,GPT-2 345M,probs,Bins 0.005,GNB,0.9459459459459459,0.7446808510638298,0.8333333333333334
EBG obfuscated,GPT-2 345M,probs,Bins 0.001,GNB,1.0,0.6382978723404256,0.7792207792207793
EBG obfuscated,GPT-2 345M,probs,VGG19,GNB,0.7333333333333333,0.7021276595744681,0.7173913043478262
EBG obfuscated,GPT-2 345M,probs,Bins 0.010,GNB,0.9444444444444444,0.7234042553191491,0.8192771084337349
EBG obfuscated,GPT-2 345M,probs,Bins 0.005,KNN,1.0,0.6808510638297872,0.810126582278481
EBG obfuscated,GPT-2 345M,probs,Bins 0.001,KNN,1.0,0.6808510638297872,0.810126582278481
EBG obfuscated,GPT-2 345M,probs,VGG19,KNN,0.9714285714285714,0.7234042553191491,0.8292682926829269
EBG obfuscated,GPT-2 345M,probs,Bins 0.010,KNN,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 345M,probs,Bins 0.005,ANN,0.9189189189189192,0.7234042553191491,0.8095238095238095
EBG obfuscated,GPT-2 345M,probs,Bins 0.001,ANN,1.0,0.6808510638297872,0.810126582278481
EBG obfuscated,GPT-2 345M,probs,VGG19,ANN,0.875,0.7446808510638298,0.8045977011494252
